Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = KR :  time = 1492.914080619812
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = VC :  time = 1603.1260108947754
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = VC_SQRT :  time = 1564.6183333396912
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = weight :  time = 1580.7508068084717
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = count :  time = 1835.391704082489
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = KR :  time = 455.29386854171753
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = VC :  time = 450.0978319644928
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = VC_SQRT :  time = 443.224125623703
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = weight :  time = 445.046373128891
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = count :  time = 509.14732027053833
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = KR :  time = 534.7184665203094
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = VC :  time = 563.3608589172363
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = VC_SQRT :  time = 565.3864624500275
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = weight :  time = 566.5794851779938
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = count :  time = 640.8839111328125
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = KR :  time = 1053.9328062534332
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = VC :  time = 1077.1210272312164
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = VC_SQRT :  time = 1122.8649888038635
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = weight :  time = 988.8661262989044
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = count :  time = 1175.1949186325073
