Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = KR :  time = 1767.3987905979156
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = VC :  time = 1921.3371102809906
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = VC_SQRT :  time = 1930.5642840862274
Rao_2014_GM_MboI_4DNFIXP4QG5B.mcool | norm = weight :  time = 1810.393413066864
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = KR :  time = 546.4964466094971
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = VC :  time = 483.67804288864136
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = VC_SQRT :  time = 467.6736135482788
Rao_2014_HUVEC_MboI_4DNFIRMZ7QTE.mcool | norm = weight :  time = 461.91608452796936
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = KR :  time = 566.7532815933228
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = VC :  time = 589.7649784088135
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = VC_SQRT :  time = 574.2295713424683
Rao_2014_HMEC_MboI_4DNFIGUIV5KO.mcool | norm = weight :  time = 541.2288718223572
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = KR :  time = 1050.1434128284454
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = VC :  time = 1086.9745025634766
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = VC_SQRT :  time = 1065.5631279945374
Rao_2014_IMR90_MboI_4DNFIJTOIGOI.mcool | norm = weight :  time = 1017.3329164981842
